day_id,date,date_el,new_cases,new_gates,new_clusters,total_cases,new_deaths,total_deaths,meth,meth_non,meth_vac,exits,new_hosp,avg_hosp,tests_pcr,tests_rapidag,rt,age_meth,age_cases,age_deaths,text
195,20200907,07 Σεπτεμβρίου 2020,156,13,,11663,5,289,42,,,160,,,1037836,,,,39,78,"#195/07 Σεπτεμβρίου 2020: 156 νέα κρούσματα (13 σε πύλες), συνολικά 11663. 289 θάνατοι (+5), 160 εξαγωγές, 42 διασωληνωμένοι, 1037836 RT-PCR τεστ."
196,20200908,08 Σεπτεμβρίου 2020,169,15,,11832,1,290,42,,,164,,,1050259,,,,39,78,"#196/08 Σεπτεμβρίου 2020: 169 νέα κρούσματα (15 σε πύλες), συνολικά 11832. 290 θάνατοι (+1), 164 εξαγωγές, 42 διασωληνωμένοι, 1050259 RT-PCR τεστ."
197,20200909,09 Σεπτεμβρίου 2020,248,19,,12080,3,293,46,,,167,,,1066305,,,,39,78,"#197/09 Σεπτεμβρίου 2020: 248 νέα κρούσματα (19 σε πύλες), συνολικά 12080. 293 θάνατοι (+3), 167 εξαγωγές, 46 διασωληνωμένοι, 1066305 RT-PCR τεστ."
198,20200910,10 Σεπτεμβρίου 2020,372,21,164,12452,4,297,49,,,167,,,1082401,,,,39,78,"#198/10 Σεπτεμβρίου 2020: 372 νέα κρούσματα (21 σε πύλες, 164 σε συρροές), συνολικά 12452. 297 θάνατοι (+4), 167 εξαγωγές, 49 διασωληνωμένοι, 1082401 RT-PCR τεστ."
199,20200911,11 Σεπτεμβρίου 2020,287,15,43,12734,3,300,52,,,169,,,1094354,,,,39,78,"#199/11 Σεπτεμβρίου 2020: 287 νέα κρούσματα (15 σε πύλες, 43 σε συρροές), συνολικά 12734. 300 θάνατοι (+3), 169 εξαγωγές, 52 διασωληνωμένοι, 1094354 RT-PCR τεστ."
200,20200912,12 Σεπτεμβρίου 2020,302,21,29,13036,2,302,53,,,170,,,1112992,,,,39,78,"#200/12 Σεπτεμβρίου 2020: 302 νέα κρούσματα (21 σε πύλες, 29 σε συρροές), συνολικά 13036. 302 θάνατοι (+2), 170 εξαγωγές, 53 διασωληνωμένοι, 1112992 RT-PCR τεστ."
201,20200913,13 Σεπτεμβρίου 2020,207,29,23,13240,3,305,54,,,171,,,1125882,,,,39,78,"#201/13 Σεπτεμβρίου 2020: 207 νέα κρούσματα (29 σε πύλες, 23 σε συρροές), συνολικά 13240. 305 θάνατοι (+3), 171 εξαγωγές, 54 διασωληνωμένοι, 1125882 RT-PCR τεστ."
202,20200914,14 Σεπτεμβρίου 2020,180,21,22,13420,5,310,59,,,173,,,1133027,,,,39,78,"#202/14 Σεπτεμβρίου 2020: 180 νέα κρούσματα (21 σε πύλες, 22 σε συρροές), συνολικά 13420. 310 θάνατοι (+5), 173 εξαγωγές, 59 διασωληνωμένοι, 1133027 RT-PCR τεστ."
203,20200915,15 Σεπτεμβρίου 2020,310,12,30,13730,3,313,67,,,175,,,1144549,,,,39,78,"#203/15 Σεπτεμβρίου 2020: 310 νέα κρούσματα (12 σε πύλες, 30 σε συρροές), συνολικά 13730. 313 θάνατοι (+3), 175 εξαγωγές, 67 διασωληνωμένοι, 1144549 RT-PCR τεστ."
204,20200916,16 Σεπτεμβρίου 2020,312,22,27,14041,3,316,67,,,176,,,1157897,,,,39,78,"#204/16 Σεπτεμβρίου 2020: 312 νέα κρούσματα (22 σε πύλες, 27 σε συρροές), συνολικά 14041. 316 θάνατοι (+3), 176 εξαγωγές, 67 διασωληνωμένοι, 1157897 RT-PCR τεστ."
