day_id,date,attiki,anatoliki_attiki,dytiki_attiki,voreia_athina,dytiki_athina,kentriki_athina,notia_athina,piraeus,nison,aitoloakarnania,andros,argolida,arkadia,arta,achaia,voiotia,grevena,drama,evros,evvoia,evrytania,zakynthos,ileia,imathia,irakleio,thasos,thesprotia,thessaloniki,thira,ithaki,ikaria,ioannina,kavala,kalymnos,karditsa,karpathos,kastoria,kea,kerkyra,kefallinia,kilkis,kozani,korinthos,kos,lakonia,larisa,lasithi,lesvos,lefkada,limnos,magnisia,messinia,milos,mykonos,naxos,xanthi,paros,pella,pieria,preveza,rethymno,rodopi,rodos,samos,serres,sporades,syros,tinos,trikala,fthiotida,florina,fokida,chalkidiki,chania,chios,agio_oros,new_unknown,new_gates,new_incoming,notes
195,20200907,101,,,,,,,,,2,0,0,0,0,0,7,1,0,0,0,1,0,0,5,4,0,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,1,0,0,0,0,0,0,1,13,1,The official NPHO report starts to include data for cases per regional unit on Dec 16 2020 - before that date they were manually imported from press briefings. Today 1 case was not reported: added to unknown
196,20200908,65,,,,,,,,,3,0,0,0,0,0,0,1,0,0,1,0,0,0,6,3,0,0,9,1,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,1,8,0,23,1,0,0,0,0,1,0,1,0,6,7,0,0,0,0,0,0,0,0,1,4,3,0,0,0,0,1,0,3,15,1,3 cases not reported: added to unknown
197,20200909,98,,,,,,,,,0,0,1,0,0,0,1,1,0,1,1,0,3,0,9,0,0,0,17,0,0,0,2,0,0,4,0,0,0,1,0,13,1,1,0,0,4,0,15,0,0,1,0,0,1,0,0,1,25,5,0,1,0,0,0,0,0,0,0,11,4,0,0,0,0,0,0,3,19,4,3 unknown cases not reported
198,20200910,133,,,,,,,,,1,0,1,0,0,0,0,1,0,0,5,0,3,0,8,7,0,0,18,0,0,0,9,0,0,0,0,14,0,0,4,2,7,0,0,0,2,1,6,0,3,0,0,0,0,0,0,0,70,15,0,1,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,30,21,6,
199,20200911,158,,,,,,,,,1,0,1,0,0,2,1,1,4,1,1,0,1,0,7,3,0,0,19,1,0,0,0,1,0,2,0,2,0,1,0,0,7,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,18,14,0,3,0,2,1,0,0,0,0,2,3,0,0,0,2,2,0,6,15,0,
200,20200912,133,,,,,,,,,2,0,1,0,0,1,1,0,0,3,0,1,3,0,4,1,0,0,33,1,0,0,1,0,0,0,0,3,0,0,2,0,4,0,0,0,4,0,4,0,0,0,2,0,1,0,3,0,46,7,0,4,0,1,0,0,0,0,0,2,3,0,0,0,0,1,0,7,21,2,
201,20200913,120,,,,,,,,,0,0,1,0,0,0,2,0,0,1,1,0,0,0,1,13,0,0,9,1,0,0,2,2,0,0,0,0,0,1,0,0,5,0,0,0,3,0,2,0,0,1,0,0,0,0,1,0,5,2,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,29,1,
202,20200914,102,,,,,,,,,0,0,2,1,1,1,0,2,0,1,2,0,0,1,4,1,0,0,8,3,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,4,0,3,0,0,0,0,0,0,3,0,0,5,2,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,3,21,2,
203,20200915,197,,,,,,,,,0,0,1,0,0,4,0,0,0,1,0,0,0,1,3,4,0,0,22,1,0,0,3,0,0,2,0,0,0,0,2,0,4,0,0,0,1,0,15,0,0,0,1,0,1,0,0,0,9,6,1,3,0,2,2,0,1,0,0,2,1,0,0,0,0,0,0,6,12,2,
204,20200916,174,,,,,,,,,0,0,0,0,0,1,1,0,3,1,2,0,0,0,2,7,0,0,26,0,0,0,1,0,0,1,0,2,0,3,0,1,3,3,1,0,1,0,7,0,0,0,1,0,0,0,0,0,11,10,0,1,0,0,0,0,0,0,0,4,2,1,0,0,0,0,0,14,22,6,
205,20200917,212,,,,,,,,,1,0,1,0,0,1,1,1,0,1,0,0,0,0,5,3,0,0,18,1,0,0,3,1,2,1,0,3,0,1,0,0,5,1,0,1,2,0,6,0,0,1,0,0,0,1,2,1,7,10,1,1,0,0,1,0,0,0,0,7,0,0,0,1,1,1,0,16,36,1,
206,20200918,164,,,,,,,,,0,0,0,0,0,2,0,1,0,2,1,0,0,0,4,2,0,0,12,0,0,0,7,2,1,1,0,3,0,0,0,2,9,3,0,0,17,0,13,0,0,2,0,0,0,0,0,0,0,4,1,0,0,3,7,0,0,0,0,11,1,1,0,3,0,0,0,20,39,1,
207,20200919,99,,,,,,,,,0,0,0,0,0,4,0,0,0,2,0,1,0,0,0,3,0,0,5,1,0,0,12,1,0,2,0,1,0,1,0,0,8,0,0,0,3,0,22,0,0,2,1,0,0,0,0,0,4,6,0,2,0,0,0,0,0,0,0,4,0,0,0,1,2,1,1,17,34,0,
208,20200920,89,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,2,0,0,0,22,0,0,0,0,1,0,0,0,0,0,0,0,19,12,3,
209,20200921,174,,,,,,,,,0,0,1,5,0,0,0,0,0,0,0,0,1,1,0,0,0,0,5,0,0,0,1,0,0,1,0,0,0,0,0,0,1,2,0,0,7,0,184,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,18,1,0,1,0,0,0,0,19,25,2,
210,20200922,210,,,,,,,,,0,0,5,0,0,5,0,2,0,1,0,0,0,1,5,6,0,0,19,1,0,0,2,1,0,0,0,2,0,3,1,2,11,1,1,0,3,2,0,0,0,0,0,0,0,0,2,0,2,4,0,1,0,0,7,1,0,0,0,9,2,0,0,3,0,0,0,3,25,3,
211,20200923,194,,,,,,,,,2,0,4,0,0,4,0,1,0,0,0,0,0,0,1,4,0,0,10,0,0,0,2,0,0,3,0,2,1,0,0,0,0,0,0,2,7,0,17,1,0,1,0,0,0,0,1,0,7,1,0,1,0,1,17,1,0,0,0,13,0,0,0,1,0,0,0,13,43,3,
212,20200924,213,,,,,,,,,1,0,2,0,0,1,4,1,0,0,2,0,0,0,0,0,0,0,11,0,0,0,7,0,0,0,0,3,1,0,0,0,1,1,0,0,4,0,1,0,0,0,1,0,0,0,0,1,4,1,2,0,0,2,5,7,0,1,1,3,6,1,0,0,0,1,0,23,30,0,
213,20200925,163,,,,,,,,,1,0,0,0,0,3,3,2,0,0,0,0,0,0,0,2,0,0,11,0,0,0,6,0,4,1,0,4,0,2,0,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,5,1,0,0,0,18,0,1,0,0,0,0,0,11,37,0,
214,20200926,165,,,,,,,,,1,0,0,0,0,6,5,1,0,1,0,0,0,0,1,1,0,0,17,0,0,0,6,0,0,5,0,3,0,0,0,0,4,0,0,32,4,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,1,2,1,0,0,0,11,0,0,0,2,0,0,0,16,19,1,
215,20200927,118,,,,,,,,,1,0,0,0,0,1,0,1,0,1,2,0,0,0,0,0,0,0,8,0,0,0,4,0,0,3,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,5,3,0,0,0,1,5,0,0,0,1,8,0,0,0,0,0,0,0,4,39,4,
216,20200928,197,,,,,,,,,1,0,1,0,0,2,1,0,2,0,3,0,0,0,0,0,0,0,4,1,0,0,12,0,0,1,0,1,0,0,0,0,5,0,0,0,3,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,15,11,1,
217,20200929,240,,,,,,,,,1,0,0,0,0,5,2,2,0,0,3,0,3,1,3,1,0,0,12,0,0,0,8,0,0,4,0,3,0,0,0,0,4,1,0,0,7,0,2,0,0,1,1,0,0,0,0,0,4,5,1,0,0,0,18,0,0,0,0,7,2,0,0,2,0,0,0,12,59,2,
218,20200930,195,,,,,,,,,0,0,0,1,0,9,4,0,1,0,3,0,0,0,3,5,0,0,12,1,0,0,4,0,0,10,0,6,0,0,0,0,5,0,0,2,6,0,2,0,0,0,0,0,0,0,0,0,13,5,0,0,0,1,2,3,0,0,0,8,1,2,0,0,0,0,0,21,23,6,
219,20201001,272,,,,,,,,,2,0,1,0,0,9,9,3,0,0,1,0,1,0,0,2,0,0,7,2,0,0,2,1,0,0,0,0,1,2,0,0,6,3,0,0,6,0,5,0,0,1,1,0,1,1,0,0,5,6,2,0,2,1,1,0,0,0,0,3,2,1,0,1,0,1,0,14,26,7,
220,20201002,207,,,,,,,,,2,0,1,0,0,5,0,0,0,1,2,0,0,0,0,2,0,1,5,1,0,0,10,2,0,10,0,0,6,5,0,0,4,3,0,0,2,0,0,1,0,0,0,0,0,0,1,0,117,2,2,0,2,0,2,0,0,0,0,15,1,0,0,3,0,1,0,16,26,2,
221,20201003,123,,,,,,,,,2,0,0,0,0,11,0,0,4,2,5,0,0,0,0,1,0,0,11,1,0,0,6,0,0,2,0,0,0,2,0,1,7,2,0,1,9,0,1,0,0,4,1,0,0,0,0,0,6,2,0,0,2,0,3,0,0,0,0,4,1,2,0,4,3,0,0,16,25,3,
222,20201004,97,,,,,,,,,1,0,0,2,0,6,0,0,1,0,1,0,0,0,0,0,0,0,9,0,0,0,9,1,0,6,0,0,1,2,0,0,5,5,0,0,6,0,2,0,0,0,0,0,0,0,0,0,8,0,1,0,2,0,5,0,0,0,0,11,2,1,0,0,0,1,0,15,28,1,1 case not reported: added to unknown
223,20201005,167,,,,,,,,,1,0,2,0,1,6,1,0,0,1,5,0,0,0,2,1,0,0,2,0,0,0,8,0,0,2,0,2,0,2,0,0,21,4,0,0,3,0,2,0,0,2,0,0,1,1,0,0,3,4,1,0,0,0,4,0,0,0,0,1,0,0,0,1,0,0,0,18,25,9,
224,20201006,213,,,,,,,,,6,0,1,0,0,12,2,0,0,0,9,0,1,1,0,1,0,0,8,0,0,0,12,0,0,9,0,0,1,0,1,2,3,4,0,0,3,0,11,0,0,3,1,0,0,0,5,0,10,2,0,0,2,1,2,0,1,0,0,8,2,1,0,1,1,0,0,19,33,7,
225,20201007,194,,,,,,,,,7,0,1,0,0,11,3,0,0,1,12,0,0,1,6,1,0,0,16,1,0,0,26,0,0,0,0,0,0,1,0,2,29,8,1,1,2,1,5,0,0,1,0,0,0,1,2,0,6,5,1,0,0,0,1,0,0,0,1,8,2,0,1,1,1,2,0,17,25,2,17 unknown cases not reported
226,20201008,219,,,,,,,,,4,0,0,0,0,9,6,3,2,1,10,0,0,3,1,4,0,0,33,0,0,0,20,0,0,0,0,5,0,1,0,10,18,8,0,0,7,0,2,0,0,4,0,0,0,0,1,0,10,1,0,2,2,1,0,1,1,0,0,4,0,1,0,0,1,1,0,21,17,2,
227,20201009,161,,,,,,,,,11,0,0,1,0,8,2,1,2,0,9,0,0,8,2,0,0,0,25,4,0,0,23,1,0,1,0,3,0,2,0,2,23,11,0,3,7,0,5,0,0,2,0,0,1,1,0,0,5,1,1,1,1,1,5,1,2,0,0,1,2,0,0,1,1,0,0,9,36,4,
228,20201010,165,,,,,,,,,0,0,0,0,0,5,0,0,0,0,4,0,1,2,0,1,0,0,11,0,0,0,27,1,0,1,0,1,1,3,0,1,11,2,0,1,7,0,2,0,0,1,0,0,0,2,2,0,4,1,1,1,0,0,1,0,0,0,0,2,1,1,0,6,0,0,0,4,30,2,4 unknown cases reported in writing
229,20201011,141,,,,,,,,,1,0,0,0,0,9,3,0,0,1,0,0,0,1,0,5,0,0,19,1,0,0,15,0,0,1,0,0,0,4,0,0,14,5,0,4,3,0,2,0,0,1,0,0,0,1,0,0,3,2,0,0,1,0,3,1,2,0,0,1,0,0,0,0,1,3,0,6,25,1,
230,20201012,145,,,,,,,,,0,0,0,0,0,5,3,1,1,1,1,0,0,0,0,0,0,0,6,2,0,0,15,0,0,1,0,9,1,1,0,0,19,9,0,1,2,0,3,0,0,1,0,0,0,0,1,0,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,17,40,3,
231,20201013,170,,,,,,,,,4,0,1,0,0,1,8,2,2,0,1,0,0,1,6,1,0,0,36,0,0,0,13,1,1,1,0,17,0,6,0,4,35,8,0,0,2,0,0,0,0,2,0,0,0,0,2,0,1,2,2,0,0,1,0,1,0,0,0,1,0,0,0,2,3,1,0,17,45,7,
232,20201014,201,,,,,,,,,2,0,1,0,1,5,5,0,0,1,1,0,0,0,1,1,0,0,38,2,0,0,19,2,0,0,0,17,0,4,0,5,29,5,0,0,7,0,7,0,0,1,0,0,0,1,0,0,2,1,0,0,4,4,1,0,1,1,0,5,1,0,0,1,0,3,0,20,31,5,
233,20201015,207,,,,,,,,,5,0,0,0,2,4,4,2,1,4,0,0,0,5,4,6,3,4,56,0,0,0,18,0,0,3,0,5,0,0,0,2,22,2,1,0,4,0,0,0,0,2,0,0,1,0,1,0,8,4,0,0,2,0,1,4,1,0,0,2,11,0,0,1,0,1,0,20,27,3,
234,20201016,227,,,,,,,,,0,0,1,0,0,7,0,0,0,5,2,0,0,1,3,5,0,1,63,0,0,0,31,5,1,1,0,20,0,5,0,0,24,1,1,0,14,0,2,0,1,8,3,1,1,3,0,0,4,0,1,1,2,9,0,8,1,0,0,5,0,1,1,1,1,3,0,15,12,6,
